customer_id,first_name,last_name,email,phone,age,home_store,acquired_at,loyalty_enrolled,opt_in_email,opt_in_sms,opt_in_push,annual_spend,lifetime_spend,visits_90d,last_visit,avg_basket,tier,churn_risk,rising_star,decliner,near_platinum,vip_likely,favorite_category,category_diversity
GST-00001,Skyler,Hawthorne,skyler.hawthorne0@icloud.com,(365) 929-4106,46,Bald Head Island Club,2026-04-17,true,false,false,true,2183.82,3686.35,1,2026-02-28,368.63,Gold,0.676,false,false,false,true,Lodging,7
GST-00002,Briar,Hayes,briar.hayes1@proton.me,(789) 505-7542,38,Wrightsville Beach Resort,2024-12-17,true,true,true,true,995.12,2401.34,1,2026-03-09,400.22,Silver,0.696,true,true,false,false,Lodging,4
GST-00003,Casey,Sutton,casey.sutton2@yahoo.com,(771) 821-8699,46,Brunswick Harbor Hotel,2023-11-17,true,true,true,false,1075.44,3729.5,0,2025-12-02,372.95,Gold,0.88,false,false,false,false,Lodging,5
GST-00004,Drew,Carter,drew.carter3@outlook.com,(245) 912-9004,36,Wrightsville Beach Resort,2026-02-17,true,true,true,false,1001.29,1284.78,0,2025-07-23,428.26,Gold,0.88,false,false,false,false,Lodging,2
GST-00005,Riley,Patel,riley.patel4@outlook.com,(809) 392-3695,24,Kure Beach Grill,2025-08-17,true,true,true,true,1805.19,3205.76,1,2026-03-11,246.6,Gold,0.716,false,false,false,false,Dining,4
GST-00006,Cameron,Daniels,cameron.daniels5@proton.me,(800) 479-3966,50,Holden Beach Pavilion,2026-04-17,true,true,true,true,0,1157.89,0,2025-01-23,385.96,Silver,0.95,false,false,false,false,Events,3
GST-00007,Finley,Wright,finley.wright6@outlook.com,(529) 699-3989,45,Wrightsville Beach Resort,2026-03-17,true,true,true,false,1975.19,3062.12,1,2026-04-14,340.24,Gold,0.507,false,false,false,false,Lodging,6
GST-00008,Emerson,Hayes,emerson.hayes7@proton.me,(500) 793-9307,56,Oak Island Pier House,2023-11-17,true,false,true,true,1650.65,3679.87,2,2026-04-10,459.98,Gold,0.447,false,false,false,false,Lodging,5
GST-00009,Emerson,Whitaker,emerson.whitaker8@yahoo.com,(298) 817-7680,26,Brunswick Harbor Hotel,2024-01-17,true,false,true,false,47.74,966.08,0,2025-12-10,241.52,Silver,0.88,false,false,false,false,Lodging,4
GST-00010,Phoenix,Simmons,phoenix.simmons9@icloud.com,(952) 844-5995,65,Brunswick Harbor Hotel,2025-05-17,true,false,false,false,3716.48,7215.85,0,2026-01-09,400.88,Platinum,0.88,false,false,false,false,Lodging,7
GST-00011,Reese,Daniels,reese.daniels10@proton.me,(490) 251-1780,36,Holden Beach Pavilion,2026-03-17,false,false,true,false,2813.45,5009.43,1,2026-02-17,357.82,Gold,0.873,false,false,true,false,Events,7
GST-00012,Quinn,Brooks,quinn.brooks11@icloud.com,(298) 995-6267,30,Carolina Beach Tavern,2025-08-17,true,true,false,true,268.15,2343.24,0,2025-12-10,234.32,Silver,0.99,false,true,false,false,Dining,4
GST-00013,Jules,Larsson,jules.larsson12@outlook.com,(453) 832-9146,47,Wrightsville Beach Resort,2024-02-17,true,true,true,false,552.26,2977.22,0,2025-05-28,372.15,Silver,0.88,true,false,false,false,Lodging,7
GST-00014,Emerson,Reed,emerson.reed13@proton.me,(913) 431-6019,67,Kure Beach Grill,2024-07-17,true,false,false,true,84.47,628.77,0,2026-02-02,89.82,Silver,0.92,false,false,false,false,Bar,3
GST-00015,Sage,Bennett,sage.bennett14@outlook.com,(960) 844-1552,40,Oak Island Pier House,2024-04-17,true,true,true,false,3318.58,5163.33,2,2026-03-24,397.18,Platinum,0.537,false,false,false,false,Lodging,7
GST-00016,Justice,Foster,justice.foster15@outlook.com,(526) 309-9454,34,Carolina Beach Tavern,2025-05-17,false,true,true,false,1979.12,2880.16,2,2026-03-10,261.83,Gold,0.795,false,false,false,false,Dining,4
GST-00017,Casey,Whitaker,casey.whitaker16@proton.me,(833) 650-4975,40,Carolina Beach Tavern,2024-12-17,true,true,false,false,629.53,2259.77,1,2026-04-06,205.43,Silver,0.701,false,false,false,false,Dining,4
